id,tipo_equipo,enciende,sufrio_golpe,hace_ruido,sobrecalienta,muy_lento,pantalla_negra,pantalla_azul,no_imprime,atasca_papel,imprime_lineas,succion_bomba,no_enciende_del_todo,reinicia_solo,error_sistema,pitidos_encendido,funciona_sin_bateria,funciona_tras_golpe,muy_lento_post_formato,tipo_falla,reparacion,costo_aprox
1,Impresora Epson,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Falla de impresión,Limpieza de cabezales o rodillos,35.01
2,PC de escritorio,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,Falla de software,Formateo y reinstalación,42.12
3,Laptop,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Falla de software,Formateo y reinstalación,44.95
4,PC de escritorio,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Falla de hardware,Revisión y cambio de componente,679.41
5,PC de escritorio,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,47.03
6,PC de escritorio,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de pantalla,Cambio de pantalla,198.21
7,PC de escritorio,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Falla de hardware,Revisión y cambio de componente,230.68
8,PC de escritorio,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de pantalla,Cambio de pantalla,182.8
9,PC de escritorio,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,44.9
10,Laptop,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,SO incompatible,Reinstalación con SO compatible,46.77
11,PC de escritorio,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,Sobrecalentamiento,Limpieza interna y pasta térmica,44.44
12,Laptop,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,Falla de software,Formateo y reinstalación,41.04
13,PC de escritorio,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,45.99
14,PC de escritorio,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Falla de software,Formateo y reinstalación,51.74
15,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,51.16
16,PC de escritorio,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,SO incompatible,Reinstalación con SO compatible,57.69
